Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL
10134,Dhungare Baingan Recipe,Dhungare Baingan Recipe,"1 Brinjal (Baingan / Eggplant),2 cups Curd (Dahi / Yogurt),1 Green Chilli - chopped,1 teaspoon Cumin powder (Jeera),1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Garam masala powder,1 Onion - sliced,Salt - to taste,1 tablespoons Ghee,2 tablespoons Coriander (Dhania) Leaves - chopped","1 Brinjal (Baingan / Eggplant),2 cups Curd (Dahi / Yogurt),1 Green Chilli - chopped,1 teaspoon Cumin powder (Jeera),1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Garam masala powder,1 Onion - sliced,Salt - to taste,1 tablespoons Ghee,2 tablespoons Coriander (Dhania) Leaves - chopped",5,20,25,4,Lucknowi,Side Dish,Vegetarian,"To begin making Dhungare Baingan Recipe first we will roast a whole eggplant over an open gas flame till the skin is charred. Turn off the flame and remove the charred baigan onto a plate. Once the eggplant is cooled, peel away the charred skin. Mash the smoked baingan well and put into a pot which has a tight lid. Add in the curd,onions, green chillies, roasted cumin powder, garam masala powder,red chilli powder, salt to taste. Stir well to combine. To give it second smoke using coalKeep a piece of coal over a flame and heat till it turns red hot in colour.Place a small bowl on top of baigan mixture and place the hot burning coal in the small bowl. Drop ghee on the coal and  =once the coal begins to smoke close the lid of the pot quickly. Keep it closed for five minutes to let the flavours of the smoke seep into the baigan. After 5 minutes open the lid and remove the coal bowl. Garnish Dhungare Baingan with coriander leaves and serve.Serve Dhungare Baingan with Aromatic Vegetable Pulao or Garlic Naan and  Nawabi Kofta Curry for your next party. 
","To begin making Dhungare Baingan Recipe first we will roast a whole eggplant over an open gas flame till the skin is charred. Turn off the flame and remove the charred baigan onto a plate. Once the eggplant is cooled, peel away the charred skin. Mash the smoked baingan well and put into a pot which has a tight lid. Add in the curd,onions, green chillies, roasted cumin powder, garam masala powder,red chilli powder, salt to taste. Stir well to combine. To give it second smoke using coalKeep a piece of coal over a flame and heat till it turns red hot in colour.Place a small bowl on top of baigan mixture and place the hot burning coal in the small bowl. Drop ghee on the coal and  =once the coal begins to smoke close the lid of the pot quickly. Keep it closed for five minutes to let the flavours of the smoke seep into the baigan. After 5 minutes open the lid and remove the coal bowl. Garnish Dhungare Baingan with coriander leaves and serve.Serve Dhungare Baingan with Aromatic Vegetable Pulao or Garlic Naan and  Nawabi Kofta Curry for your next party. ",http://www.archanaskitchen.com/dhungare-baingan-recipe
10142,Chatpate Aloo Recipe With Sesame Seeds,Chatpate Aloo Recipe With Sesame Seeds,"500 grams Baby Potatoes,1-1/2 tablespoons Sesame seeds (Til seeds),Sunflower Oil - as needed,Salt - to taste,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin powder (Jeera),1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Garam masala powder,Coriander (Dhania) Leaves - finely chopped","500 grams Baby Potatoes,1-1/2 tablespoons Sesame seeds (Til seeds),Sunflower Oil - as needed,Salt - to taste,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin powder (Jeera),1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Garam masala powder,Coriander (Dhania) Leaves - finely chopped",15,15,30,4,Punjabi,Side Dish,Vegetarian,"To begin making Chatpate Aloo Recipe With Sesame Seeds, take all the baby potatoes in a saucepan with water and boil well till done.You can also choose to pressure cook them for just one whistle in sufficient water and run under cold water for immediate release of pressure.Once the potatoes are cooked al dente, peel them all and put aside.Now, in another small bowl add all the spices -salt, red chili powder, turmeric powder, jeera powder, amchur powder and garam masala powder and mix them well with a spoon, and keep aside.In a kadai, lightly roast sesame seeds and keep them aside.In the same kadai, heat 2-3 tablespoons of vegetable oil into it for frying the boiled baby potatoes.Once the oil is hot enough, add potatoes gently and fry them well. You need to cook them till they get a nice light brown color.Once the potatoes are cooked well, keep them aside on a plate and pat with tissue paper to absorb excess oil and let it cool down for 5 minutes.Take the fried potatoes in a bowl again and put the whole masala into the bowl and mix everything thoroughly together, taking care that the potatoes are firm and not mushy. Cooking the potatoes help the prepared masala to coat well which enhances the taste .Garnish it with few freshly chopped coriander leaves and Serve it like that.Serve Chatpate Aloo Recipe With Sesame Seeds along with Punjabi Dal Tadka, Butter Naan Recipe and end your meal with a Refreshing Mint Lassi Recipe.
","To begin making Chatpate Aloo Recipe With Sesame Seeds, take all the baby potatoes in a saucepan with water and boil well till done.You can also choose to pressure cook them for just one whistle in sufficient water and run under cold water for immediate release of pressure.Once the potatoes are cooked al dente, peel them all and put aside.Now, in another small bowl add all the spices -salt, red chili powder, turmeric powder, jeera powder, amchur powder and garam masala powder and mix them well with a spoon, and keep aside.In a kadai, lightly roast sesame seeds and keep them aside.In the same kadai, heat 2-3 tablespoons of vegetable oil into it for frying the boiled baby potatoes.Once the oil is hot enough, add potatoes gently and fry them well. You need to cook them till they get a nice light brown color.Once the potatoes are cooked well, keep them aside on a plate and pat with tissue paper to absorb excess oil and let it cool down for 5 minutes.Take the fried potatoes in a bowl again and put the whole masala into the bowl and mix everything thoroughly together, taking care that the potatoes are firm and not mushy. Cooking the potatoes help the prepared masala to coat well which enhances the taste .Garnish it with few freshly chopped coriander leaves and Serve it like that.Serve Chatpate Aloo Recipe With Sesame Seeds along with Punjabi Dal Tadka, Butter Naan Recipe and end your meal with a Refreshing Mint Lassi Recipe.",https://www.archanaskitchen.com/chatpate-aloo-recipe-with-sesame-seeds
10144,Thai Spicy Green Papaya Salad Recipe With Sweet Corn - Som Tum Khao Pod,Thai Spicy Green Papaya Salad Recipe With Sweet Corn - Som Tum Khao Pod,"300 grams Raw papaya - grated,2 Carrots (Gajjar) - grated,1/2 cup Sweet corn - steamed,1 Tomato - thinly sliced,3 Thai Red chilli (Birds Eye Chilli) - or regular green chillies,1/2 cup Roasted Peanuts (Moongphali) - coarsely pounded or halved,1 inch Ginger - peeled and grated,2 cloves Garlic - finely chopped,2 teaspoons Light soy sauce,1 tablespoon Palm sugar - or honey,Salt - to taste","300 grams Raw papaya - grated,2 Carrots (Gajjar) - grated,1/2 cup Sweet corn - steamed,1 Tomato - thinly sliced,3 Thai Red chilli (Birds Eye Chilli) - or regular green chillies,1/2 cup Roasted Peanuts (Moongphali) - coarsely pounded or halved,1 inch Ginger - peeled and grated,2 cloves Garlic - finely chopped,2 teaspoons Light soy sauce,1 tablespoon Palm sugar - or honey,Salt - to taste",15,20,35,2,Thai,Side Dish,Vegetarian,"To begin making the Thai Spicy Corn and Green Papaya Salad Recipe, we will first grate carrots and papaya. I personally like to use a Food Processor's Grater attachment to grate the raw green papaya and the carrots. The processor simplifies the process of making the salad. To prepare the dressing for the salad, in a pestle and mortar, add the garlic, grated ginger, chillies and lightly pound them. Add the sugar, lemon juice and soy sauce, pound with the pestle and pound again. Add half of the roasted peanuts and lightly pound along with the remaining seasoning ingredients. The next step is to combine all the ingredients for the salad. Into a large salad bowl, add grated papaya, carrot, sliced tomato, the remaining peanuts and steamed corn. Pour dressing over the grated the vegetables and toss them in the dressing. Check the salt, spice and sugar levels and adjust to suit your taste.Serve the Thai Spicy Corn & Green Papaya Salad as an appetizer for the parties or as a side dish for the main course along with the Thai Curry and steamed rice.
","To begin making the Thai Spicy Corn and Green Papaya Salad Recipe, we will first grate carrots and papaya. I personally like to use a Food Processor's Grater attachment to grate the raw green papaya and the carrots. The processor simplifies the process of making the salad. To prepare the dressing for the salad, in a pestle and mortar, add the garlic, grated ginger, chillies and lightly pound them. Add the sugar, lemon juice and soy sauce, pound with the pestle and pound again. Add half of the roasted peanuts and lightly pound along with the remaining seasoning ingredients. The next step is to combine all the ingredients for the salad. Into a large salad bowl, add grated papaya, carrot, sliced tomato, the remaining peanuts and steamed corn. Pour dressing over the grated the vegetables and toss them in the dressing. Check the salt, spice and sugar levels and adjust to suit your taste.Serve the Thai Spicy Corn & Green Papaya Salad as an appetizer for the parties or as a side dish for the main course along with the Thai Curry and steamed rice.
",http://www.archanaskitchen.com/thai-spicy-corn-green-papaya-salad-recipe-som-tum-khao-pod
10159,Super Easy Eggless Banana Clafoutis Recipe,Super Easy Eggless Banana Clafoutis Recipe,"2 Ripe Bananas,6 tablespoons Sugar,2 tablespoons Custard powder,2 tablespoons Butter (unsalted),1/2 liter Milk,Confectioners sugar - for dusting","2 Ripe Bananas,6 tablespoons Sugar,2 tablespoons Custard powder,2 tablespoons Butter (unsalted),1/2 liter Milk,Confectioners sugar - for dusting",15,35,50,2,French,Dessert,Vegetarian,"To begin making Super Easy Eggless Banana Clafoutis Recipe, dice peeled bananas into small circular thin pieces. Heat butter in a pan and add 3 tablespoons of sugar into it.Once the sugar starts to being caramelised, add the sliced banana pieces and cook them for 5 minutes or till the time they are caramelised properly.Arrange these caramelised banana pieces into two buttered ramekins and keep them aside.Now take the custard powder into a cup and add 1/3 cup of milk into the cup.Stir it well to make a thick paste.Heat up rest of milk and sugar to it,add custard powder paste into this milk and stir it continuously to save the milk from burning.Cook for few minutes and turn off the heat. Next pour this custard over the caramelised bananas.Preheat oven to 160 degrees C for about 10 minutes. Transfer the ramekins into the oven and keep them on the middle rack.Bake for 30 minutes or till the time the edges are puffed, top becomes golden brown and the centre is no longer runny.Dust some powdered sugar and serve Super Easy Eggless Banana Clafoutis Recipe as a dessert after a filling meal of Eggplant Steaks Recipe, Pita wedges and Tomato Noodle Soup recipe.
","To begin making Super Easy Eggless Banana Clafoutis Recipe, dice peeled bananas into small circular thin pieces. Heat butter in a pan and add 3 tablespoons of sugar into it.Once the sugar starts to being caramelised, add the sliced banana pieces and cook them for 5 minutes or till the time they are caramelised properly.Arrange these caramelised banana pieces into two buttered ramekins and keep them aside.Now take the custard powder into a cup and add 1/3 cup of milk into the cup.Stir it well to make a thick paste.Heat up rest of milk and sugar to it,add custard powder paste into this milk and stir it continuously to save the milk from burning.Cook for few minutes and turn off the heat. Next pour this custard over the caramelised bananas.Preheat oven to 160 degrees C for about 10 minutes. Transfer the ramekins into the oven and keep them on the middle rack.Bake for 30 minutes or till the time the edges are puffed, top becomes golden brown and the centre is no longer runny.Dust some powdered sugar and serve Super Easy Eggless Banana Clafoutis Recipe as a dessert after a filling meal of Eggplant Steaks Recipe, Pita wedges and Tomato Noodle Soup recipe.",http://www.archanaskitchen.com/super-easy-eggless-banana-clafoutis-recipe
10163,मैंगो राइस रेसिपी - Mango Rice Recipe, Mango Rice Recipe,"1/2 कप नारियल - कस ले,1-1/2 कप कच्चा आम - छीलकर काट ले,2 सुखी लाल मिर्च,1 छोटा चमच्च तिल (सफ़ेद),1/4 कप मूंगफली,2 बड़े चमच्च गुड़,1/4 छोटा चमच्च हल्दी पाउडर,1 टहनी कढ़ी पत्ता,1 सुखी लाल मिर्च,1 छोटा चमच्च राइ,नमक - स्वाद अनुसार,1/2 छोटा चमच्च उरद दाल,1/2 छोटा चमच्च चना दाल,1-1/2 कप चावल,पानी - प्रयोग अनुसार,तेल - प्रयोग अनुसार,हींग - चुटकी भर","1/2 कप नारियल - कस ले,1-1/2 कप कच्चा आम - छीलकर काट ले,2 सुखी लाल मिर्च,1 छोटा चमच्च तिल (सफ़ेद),1/4 कप मूंगफली,2 बड़े चमच्च गुड़,1/4 छोटा चमच्च हल्दी पाउडर,1 टहनी कढ़ी पत्ता,1 सुखी लाल मिर्च,1 छोटा चमच्च राइ,नमक - स्वाद अनुसार,1/2 छोटा चमच्च उरद दाल,1/2 छोटा चमच्च चना दाल,1-1/2 कप चावल,पानी - प्रयोग अनुसार,तेल - प्रयोग अनुसार,हींग - चुटकी भर",15,40,55,2,Indian,Lunch,Vegetarian,"मैंगो राइस रेसिपी बनाने के लिए सबसे पहले चावल को पानी में 30 मिनट के लिए भिगो दे. अब चावल को प्रेशर कुकर में डाले और 2 से 3 सिटी आने तक पका ले. पकने के बाद, चावल को एक प्लेट में ठंडा होने के लिए फैला ले. आम का छिलका निकाले और काट ले. अब एक ब्लेनेडर में आम, सुखी लाल मिर्च, हरी मरीच, तिल, आधी मूंगफली, 1/2 कप नारियल, गुड़ डाले और इसका कोर्स पेस्ट बना ले. अब एक कढ़ाई में तेल गरम करें। इसमें मूंगफली डाले और उनके भूरा होने तक पका ले. अब इसमें राइ, उरद दाल और चना दाल डाले। अब इसमें कढ़ी पत्ता, सुखी लाल मिर्च डाले और 1 मिनट के लिए पका ले. अब इसमें हींग, हल्दी पाउडर डाले और 10 सेकण्ड्स के लिए पका ले. अब इसमें आम नारियल का पेस्ट, नमक डाले और 3 से 4 मिनट तक पकने दे. अब इसमें चावल डाले और अच्छी तरह से मिला ले. मैंगो राइस को टमाटर प्याज ककड़ी रायते और पापड़ के साथ दिन के खाने के लिए परोसे।
","To make Mango Rice Recipe, first soak the rice in water for 30 minutes. Now put the rice in the pressure cooker and cook till 2 to 3 cities come. After cooking, spread the rice in a plate to cool. Remove and cut the mango peel. Now add mango, dry red chillies, green chilli, sesame seeds, half a peanut, 1/2 cup coconut, jaggery in a bladder and make a course paste. Now heat oil in a pan. Add peanuts and cook till they turn brown. Now add mustard seeds, urad dal and chana dal. Now add curry leaves, dry red chilies and cook for 1 minute. Now add asafoetida, turmeric powder and cook it for 10 seconds. Now add mango coconut paste, salt and let it cook for 3 to 4 minutes. Now add rice and mix it well. Serve Mango Rice with Tomato Onion Cucumber Raita and Papad for dinner.",http://www.archanaskitchen.com/mango-rice-recipe-in-hindi
10164,Japanese Cotton Cheesecake Recipe,Japanese Cotton Cheesecake Recipe,"1-1/2 cups Milk,1/2 teaspoon Cardamom Powder (Elaichi),1/2 teaspoon Saffron strands,2 tablespoon Sugar,1/2 cup Rabdi,3 Whole Eggs - at room temperature,125 grams Britannia Cream Cheese,2 tablespoons Butter,1/4 cup All Purpose Flour (Maida),1-1/2 tablespoons Corn flour,1/4 cup Sugar","1-1/2 cups Milk,1/2 teaspoon Cardamom Powder (Elaichi),1/2 teaspoon Saffron strands,2 tablespoon Sugar,1/2 cup Rabdi,3 Whole Eggs - at room temperature,125 grams Britannia Cream Cheese,2 tablespoons Butter,1/4 cup All Purpose Flour (Maida),1-1/2 tablespoons Corn flour,1/4 cup Sugar",30,40,70,2,Asian,Dessert,Vegetarian,"To begin making Japanese Cotton Cheesecake Recipe, preheat your oven to 140 Celsius. Line a 9 x 4 inch loaf pan with parchment paper such that it overlaps the sides and can be used to lift out the cake later.To make the rabdi, in a wide thick bottomed pan , heat the milk along with the sugar , cardamom, and saffron. Bring to boil. Lower the heat to medium or low and continue heating the milk, removing the cream at regular intervals as above.Using a spatula, gather the cream that forms and stick it to the side of the pan. When the milk has reduced to about 1/2 cup ( a third of the original volume), take it off the heat.Transfer the rabdi  to a bowl. Add the cream cheese and butter to this rabdi . Place the bowl on top of a saucepan with an inch of water (double boiler) and place the saucepan on medium heat.Whisk the mixture until the cream cheese and butter has melted. Cool the rabdi and cream cheese mixture and then whisk in the egg yolks. Sift in the flour and cornflour to this egg yolk- cheese-rabdi mixture. Whisk until smooth.In another bowl, beat the egg whites until foamy. Add the granulated sugar in portions and continue beating until stiff shiny peaks form (if you upturn the bowl, the whipped egg whites will not move!)Fold in the egg whites into the earlier mixture gently, in three or four additions. Do not over beat.Pour into the lined pan. Place the pan in a bigger pan and fill the outer pan with hot water up to half way up your loaf pan.Bake at 140 C for 40-45 minutes or until top is browned and the cheesecake is set.Remove from pan and cool completely on a wire rack. Serve Japanese Cotton Cheesecake (Fusion Recipe) as a dessert after lunch or dinner along with Japanese Chicken Udon Soup Recipe and Chicken Yakisoba.
","To begin making Japanese Cotton Cheesecake Recipe, preheat your oven to 140 Celsius. Line a 9 x 4 inch loaf pan with parchment paper such that it overlaps the sides and can be used to lift out the cake later.To make the rabdi, in a wide thick bottomed pan , heat the milk along with the sugar , cardamom, and saffron. Bring to boil. Lower the heat to medium or low and continue heating the milk, removing the cream at regular intervals as above.Using a spatula, gather the cream that forms and stick it to the side of the pan. When the milk has reduced to about 1/2 cup ( a third of the original volume), take it off the heat.Transfer the rabdi  to a bowl. Add the cream cheese and butter to this rabdi . Place the bowl on top of a saucepan with an inch of water (double boiler) and place the saucepan on medium heat.Whisk the mixture until the cream cheese and butter has melted. Cool the rabdi and cream cheese mixture and then whisk in the egg yolks. Sift in the flour and cornflour to this egg yolk- cheese-rabdi mixture. Whisk until smooth.In another bowl, beat the egg whites until foamy. Add the granulated sugar in portions and continue beating until stiff shiny peaks form (if you upturn the bowl, the whipped egg whites will not move!)Fold in the egg whites into the earlier mixture gently, in three or four additions. Do not over beat.Pour into the lined pan. Place the pan in a bigger pan and fill the outer pan with hot water up to half way up your loaf pan.Bake at 140 C for 40-45 minutes or until top is browned and the cheesecake is set.Remove from pan and cool completely on a wire rack. Serve Japanese Cotton Cheesecake (Fusion Recipe) as a dessert after lunch or dinner along with Japanese Chicken Udon Soup Recipe and Chicken Yakisoba.
",https://www.archanaskitchen.com/japanese-cotton-cheesecake-fusion-recipe
10165,Amla Achaar Recipe | Hot & Sweet Indian Gooseberry Pickle,Amla Achaar Recipe | Hot & Sweet Indian Gooseberry Pickle,"1/2 kg Amla (Nellikai/ Gooseberry),1/4 Cup Kashmiri Red Chilli Powder,1/4 cup Salt,1/4 cup Mustard seeds - (kuria-halved),1/4 cup Jaggery - grated,2 tablespoons Turmeric powder (Haldi),1 tablespoon Methi Seeds (Fenugreek Seeds) - (kuria-halved),1 teaspoon Asafoetida (hing),1-1/2 Cup Peanut oil","1/2 kg Amla (Nellikai/ Gooseberry),1/4 Cup Kashmiri Red Chilli Powder,1/4 cup Salt,1/4 cup Mustard seeds - (kuria-halved),1/4 cup Jaggery - grated,2 tablespoons Turmeric powder (Haldi),1 tablespoon Methi Seeds (Fenugreek Seeds) - (kuria-halved),1 teaspoon Asafoetida (hing),1-1/2 Cup Peanut oil",20,25,45,2,Indian,Appetizer,Vegetarian,"To begin making Amla Achaar Recipe | Hot & Sweet Indian Gooseberry Pickle, select green, unblemished amla (gooseberry) for this pickle. Wash the Amla, pat dry and prick all over with fork. Keep them in a colander.Heat up 4-5 cup water in a big saucepan. Keep the colander of Amla over it and cover it. Let the Amla cook on the steam for about 20 minutes. Meanwhile dry roast the fenugreek kuria on a heated skillet until fragrant. Cool and grind to powder.Let the amla cool down after steaming. Once it is cooled, remove seed and make small wedges of the cooked amla using a knife. Wear hand gloves while doing so as handling amla for a long time make cause blackening of nails in few cases.In a big mixing bowl, first spread the Amla wedges. Now sprinkle the Turmeric powder all over it followed by the Fenugreek powder, Hing , Mustard Seed dal , Salt and Red Chili powder.Mix it nicely with a spatula. Now add in the grated Jaggery and mix again.Heat up the Oil in a kadai, on a low to medium heat until heated but not fuming. Put off the heat and let the oil cool down a bit. Now add this Oil to the pickle masala and mix very well. Keep the pickle covered overnight. Next day oil will float up . Stir it again and fill in clean and dry glass jars. The oil layer should always cover the pickle in the jar. This pickle stays good at room temperature for about 2-3 months. But color may darken slightly, hence you can refrigerate. Serve Amla Achaar Recipe | Hot & Sweet Indian Gooseberry Pickle as an accompaniment with Carrots & Sweet Potato Stuffed Paratha Recipe or along with Steamed Rice and Thatta Payaru Sambar Recipe (Black Eyed Beans Sambar).
","To begin making Amla Achaar Recipe | Hot & Sweet Indian Gooseberry Pickle, select green, unblemished amla (gooseberry) for this pickle. Wash the Amla, pat dry and prick all over with fork. Keep them in a colander.Heat up 4-5 cup water in a big saucepan. Keep the colander of Amla over it and cover it. Let the Amla cook on the steam for about 20 minutes. Meanwhile dry roast the fenugreek kuria on a heated skillet until fragrant. Cool and grind to powder.Let the amla cool down after steaming. Once it is cooled, remove seed and make small wedges of the cooked amla using a knife. Wear hand gloves while doing so as handling amla for a long time make cause blackening of nails in few cases.In a big mixing bowl, first spread the Amla wedges. Now sprinkle the Turmeric powder all over it followed by the Fenugreek powder, Hing , Mustard Seed dal , Salt and Red Chili powder.Mix it nicely with a spatula. Now add in the grated Jaggery and mix again.Heat up the Oil in a kadai, on a low to medium heat until heated but not fuming. Put off the heat and let the oil cool down a bit. Now add this Oil to the pickle masala and mix very well. Keep the pickle covered overnight. Next day oil will float up . Stir it again and fill in clean and dry glass jars. The oil layer should always cover the pickle in the jar. This pickle stays good at room temperature for about 2-3 months. But color may darken slightly, hence you can refrigerate. Serve Amla Achaar Recipe | Hot & Sweet Indian Gooseberry Pickle as an accompaniment with Carrots & Sweet Potato Stuffed Paratha Recipe or along with Steamed Rice and Thatta Payaru Sambar Recipe (Black Eyed Beans Sambar).",https://www.archanaskitchen.com/amla-achaar-recipe-hot-sweet-indian-gooseberry-pickle
10169,चना दाल चटनी रेसिपी - Chana Dal Chutney (Recipe In Hindi), Chana Dal Chutney (Recipe In Hindi),"1/4 कप रोस्टेड चना दाल,1/4 कप नारियल - कस ले,6 सुखी लाल मिर्च,2 टहनी कढ़ी पत्ता,हींग - चुटकी भर,1 छोटा चमच्च राइ,2 छोटा चमच्च इमली का पेस्ट,1 बड़ा चमच्च तेल,नमक - स्वाद अनुसार","1/4 cup roasted chana dal, 1/4 cup coconut - grated, 6 dry red chillies, 2 sprig curry leaves, asafetida - a pinch, 1 teaspoon mustard, 2 teaspoon tamarind paste, 1 tablespoon oil, salt - as per taste",15,10,25,5,South Indian Recipes,Side Dish,Vegetarian,"चना दाल चटनी बनाने के लिए सबसे पहले एक कढ़ाई इ थोड़ा तेल गरम कर ले. इसमें रोस्टेड चना दाल, कढ़ी पत्ता और सुखी लाल मिर्च डाले। 1 से 2 मिनट के लिए सके. अब इसमें नारियल डाले और 1 मिनट तक पकाए। गैस बंद करें और इस मिश्रण को मिक्सर ग्राइंडर में थोड़े पानी के साथ डाले और पेस्ट बना ले. अब इसमें नमक, इमली का पेस्ट और दाल डाले। फिर से अच्छी तरह से पीस ले. अब एक तड़का पैन में तेल गरम करें। इसमें राइ, कढ़ी पत्ता और हींग डाले। 15 सेकण्ड्स तक पकाए और इसे चटनी में डाल दे. मिला ले और परोसे। चना दाल चटनी को टमाटर उत्तपम, रवा इडली या किसी अन्य डोसे के साथ परोसे।
","चना दाल चटनी बनाने के लिए सबसे पहले एक कढ़ाई इ थोड़ा तेल गरम कर ले. इसमें रोस्टेड चना दाल, कढ़ी पत्ता और सुखी लाल मिर्च डाले। 1 से 2 मिनट के लिए सके. अब इसमें नारियल डाले और 1 मिनट तक पकाए। गैस बंद करें और इस मिश्रण को मिक्सर ग्राइंडर में थोड़े पानी के साथ डाले और पेस्ट बना ले. अब इसमें नमक, इमली का पेस्ट और दाल डाले। फिर से अच्छी तरह से पीस ले. अब एक तड़का पैन में तेल गरम करें। इसमें राइ, कढ़ी पत्ता और हींग डाले। 15 सेकण्ड्स तक पकाए और इसे चटनी में डाल दे. मिला ले और परोसे। चना दाल चटनी को टमाटर उत्तपम, रवा इडली या किसी अन्य डोसे के साथ परोसे।
",http://www.archanaskitchen.com/chana-dal-chutney-recipe-in-hindi
10172,Watermelon Cranberry Mocktail Recipe,Watermelon Cranberry Mocktail Recipe,"250 kg Watermelon - diced and deseeded,1 cup Cranberry juice,1 teaspoon Rose water - or a drop of rose essence (optional),Palm sugar - (if required),Ice cubes - to serve","250 kg Watermelon - diced and deseeded,1 cup Cranberry juice,1 teaspoon Rose water - or a drop of rose essence (optional),Palm sugar - (if required),Ice cubes - to serve",10,10,20,4,Continental,Snack,Vegetarian,"To begin with Watermelon-Cranberry Mocktail, blend watermelon, cranberry juice, rose syrup/essence and palm sugar in a juicer.Add water and make sure everything is mixed well.Serve chilled with ice cubes.Serve Watermelon-Cranberry Mocktail to your guests with some homemade snacks like Mozzarella Stuffed Potato Balls and Mushrooms On Toast.
","To begin with Watermelon-Cranberry Mocktail, blend watermelon, cranberry juice, rose syrup/essence and palm sugar in a juicer.Add water and make sure everything is mixed well.Serve chilled with ice cubes.Serve Watermelon-Cranberry Mocktail to your guests with some homemade snacks like Mozzarella Stuffed Potato Balls and Mushrooms On Toast.
",http://www.archanaskitchen.com/watermelon-cranberry-mocktail-recipe
10180,Mushroom Thoran Recipe-Kerala Style Mushroom Sabzi,Mushroom Thoran Recipe-Kerala Style Mushroom Sabzi,"20 Button mushrooms - finely chopped,1/2 teaspoon Turmeric powder (Haldi),2 tablespoon Sunflower Oil,Salt - to taste,4 tablespoon Fresh coconut - grated,4 Shallots,2 Green Chillies,5 Curry leaves,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),2 sprig Curry leaves,2 Dry Red Chillies","20 Button mushrooms - finely chopped,1/2 teaspoon Turmeric powder (Haldi),2 tablespoon Sunflower Oil,Salt - to taste,4 tablespoon Fresh coconut - grated,4 Shallots,2 Green Chillies,5 Curry leaves,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),2 sprig Curry leaves,2 Dry Red Chillies",10,30,40,4,Kerala Recipes,Lunch,Vegetarian,"To prepare this easy Mushroom thoran Recipe-Kerala Style Mushroom Sabzi, prep up with all the ingredients first.Grind all the ingredients meant for spice paste into a thick coarse paste by adding 1/3 cup water.Heat a kadai and add oil. Add mustard seeds and after they splutter, one by one add the other ingredients meant for tempering and mix well.Add the finely chopped mushrooms and turmeric powder and mix well. After some time water will be released from the mushrooms. Cook it for 10 to 15 minutes till the mushrooms appear tender.Now add the ground coconut paste to the mushrooms and cook uncovered for 10 minutes.Add salt to taste and give it a stir. Serve Kerala Style Mushroom thoran Recipe-Kerala Style Mushroom Sabzi with Steamed rice and Cheriya Ulli Sambar.
","To prepare this easy Mushroom thoran Recipe-Kerala Style Mushroom Sabzi, prep up with all the ingredients first.Grind all the ingredients meant for spice paste into a thick coarse paste by adding 1/3 cup water.Heat a kadai and add oil. Add mustard seeds and after they splutter, one by one add the other ingredients meant for tempering and mix well.Add the finely chopped mushrooms and turmeric powder and mix well. After some time water will be released from the mushrooms. Cook it for 10 to 15 minutes till the mushrooms appear tender.Now add the ground coconut paste to the mushrooms and cook uncovered for 10 minutes.Add salt to taste and give it a stir. Serve Kerala Style Mushroom thoran Recipe-Kerala Style Mushroom Sabzi with Steamed rice and Cheriya Ulli Sambar.
",http://www.archanaskitchen.com/mushroom-thoran-recipe-kerala-style-mushroom-sabzi
