Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL
1809,Konkan Style Modachya Moongachi Amti Recipe-Sprouted Moong Bean Curry,Konkan Style Modachia Mangachi MT Recipe-Sprouted Mong Bean Curry,"1 cup Green Moong Dal (Whole),2 teaspoons Sunflower Oil - or ghee,1 teaspoon Mustard seeds,1 pinch Asafoetida (hing),1 sprig Curry leaves,Salt - to taste,1 Onion,2 tablespoons Dessicated Coconut,3 Dry Red Chillies,3 cloves Garlic,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 Kokum (Malabar Tamarind) - or tomato","1 cup Green Moong Dal (Whole),2 teaspoons Sunflower Oil - or ghee,1 teaspoon Mustard seeds,1 pinch Asafoetida (hing),1 sprig Curry leaves,Salt - to taste,1 Onion,2 tablespoons Dessicated Coconut,3 Dry Red Chillies,3 cloves Garlic,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 Kokum (Malabar Tamarind) - or tomato",15,20,35,4,Konkan,Lunch,Vegetarian,"To begin making Modachya Moongachi Amti Recipe, first pressure cook the sprouted moong beans with a little salt and two cups of water for one whistle. Once cooked, keep them aside.In the meantime, prepare a masala paste of onion, coconut, red chilies, garlic, ginger, cumin seeds, red chili powder, turmeric powder and kokum along with some water, and grind to a paste consistency in a mixer or a hand blender.Heat a wok in medium flame, pour oil, add the mustard seeds and asafoetida. Add the curry leaves and let it splutter.Add the cooked sprouted moong beans and stir it.Now add the ground masala paste and enough water to your desired consistency and season with salt.Simmer for ten minutes and switch off the flame.Serve Modachya Moongachi Amti recipe with phulkas or steamed rice, cucumber salad and roasted papad for a filling weeknight dinner.
","To begin making Modachya Moongachi Amti Recipe, first pressure cook the sprouted moong beans with a little salt and two cups of water for one whistle. Once cooked, keep them aside.In the meantime, prepare a masala paste of onion, coconut, red chilies, garlic, ginger, cumin seeds, red chili powder, turmeric powder and kokum along with some water, and grind to a paste consistency in a mixer or a hand blender.Heat a wok in medium flame, pour oil, add the mustard seeds and asafoetida. Add the curry leaves and let it splutter.Add the cooked sprouted moong beans and stir it.Now add the ground masala paste and enough water to your desired consistency and season with salt.Simmer for ten minutes and switch off the flame.Serve Modachya Moongachi Amti recipe with phulkas or steamed rice, cucumber salad and roasted papad for a filling weeknight dinner.
",https://www.archanaskitchen.com/modachya-moongachi-amti-recipe-konkan-style-sprouted-moong-bean-curry
1810,Pudina Tambuli Recipe,Pudina Tambuli Recipe,"1/2 cup Mint Leaves (Pudina),1 teaspoon Cumin seeds (Jeera),3 Whole Black Peppercorns,1 Green Chilli,1/4 cup Fresh coconut - grated,1-1/2 cup Buttermilk,1 teaspoon Ghee,Salt - to taste,1 teaspoon Ghee,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),6 Curry leaves,1 Dry Red Chilli - broken","1/2 cup Mint Leaves (Pudina),1 teaspoon Cumin seeds (Jeera),3 Whole Black Peppercorns,1 Green Chilli,1/4 cup Fresh coconut - grated,1-1/2 cup Buttermilk,1 teaspoon Ghee,Salt - to taste,1 teaspoon Ghee,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),6 Curry leaves,1 Dry Red Chilli - broken",10,5,15,4,Karnataka,Side Dish,Vegetarian,"To begin making the Pudina Tambuli recipe, clean and  wash mint leaves .In a pan add few drops of ghee and roast jeera, pepper and green chilli. Fry for a minute.Add the pudina leaves and sauté for 2-3 minutes or till the leaves turn soft and change their colour.Remove from the flame and keep aside to cool. Grind leaves, spice mix, coconut and salt to a very smooth paste in a mixer by adding little water.Pour the mixture to a bowl and add buttermilk/curd. Mix well.Adjust the consistency as required. The consistency should be thin .Heat the remaining ghee in a small pan. Add mustard seeds and jeera ,when it splutters add curry leaves. Pour the tempering on the thambli.Serve Pudina Tambli in room temperature with hot steaming rice and Keerai Sambar or relish as such as a drink.
","To begin making the Pudina Tambuli recipe, clean and  wash mint leaves .In a pan add few drops of ghee and roast jeera, pepper and green chilli. Fry for a minute.Add the pudina leaves and sauté for 2-3 minutes or till the leaves turn soft and change their colour.Remove from the flame and keep aside to cool. Grind leaves, spice mix, coconut and salt to a very smooth paste in a mixer by adding little water.Pour the mixture to a bowl and add buttermilk/curd. Mix well.Adjust the consistency as required. The consistency should be thin .Heat the remaining ghee in a small pan. Add mustard seeds and jeera ,when it splutters add curry leaves. Pour the tempering on the thambli.Serve Pudina Tambli in room temperature with hot steaming rice and Keerai Sambar or relish as such as a drink.
",https://www.archanaskitchen.com/pudina-tambuli-recipe
1811,Eggless Spicy Spinach Bread Recipe,Eggless Spicy Spinach Bread Recipe,"3 cups All Purpose Flour (Maida),3 cups Onion - chopped,1 tablespoon Baking powder,Salt - as required,Spinach - A bunch,3 Green Chillies,4 cloves Garlic - finely chopped,1 teaspoon Sesame seeds (Til seeds),1/2 cup Sunflower Oil,2 tablespoons Sunflower Oil,1/2 cup Curd (Dahi / Yogurt),1 cup Milk","3 cups All Purpose Flour (Maida),3 cups Onion - chopped,1 tablespoon Baking powder,Salt - as required,Spinach - A bunch,3 Green Chillies,4 cloves Garlic - finely chopped,1 teaspoon Sesame seeds (Til seeds),1/2 cup Sunflower Oil,2 tablespoons Sunflower Oil,1/2 cup Curd (Dahi / Yogurt),1 cup Milk",10,50,60,2,Continental,World Breakfast,High Protein Vegetarian,"To begin making the Eggless Spicy Spinach Bread recipe, heat 1 tablespoon oil in a wide pan. Add garlic, chillies and cook it for about a minute. Do not burn it.After a minute, add onion and cook until it changes to light brown colour. Add spinach and about 1/2 teaspoon salt. Cook it till the spinach is wilted. Switch off the flame and cool it down completely.Preheat the oven to 175 degree Celsius. Add 1/2 cup oil, milk and curd in a mixing bowl.In an another mixing bowl, add flour, baking powder and salt. Once done add the dry ingredients to the wet ingredients.Mix everything well and add the onion mixture and give it a stir till well incorporated.Place the mixture it in a greased loaf tin. Smooth the surface with a spoon and drizzle the remaining 1 tablespoon oil and sprinkle the sesame seeds over it.Bake the bread for about 50 minutes or until the skewer inserted comes out clean.Cool it on a wire rack before slicing and it is ready to be served.Serve Eggless Spicy Spinach Bread with Spinach Omelette and Cold Coffee Smoothie for a healthy and filling breakfast.
","To begin making the Eggless Spicy Spinach Bread recipe, heat 1 tablespoon oil in a wide pan. Add garlic, chillies and cook it for about a minute. Do not burn it.After a minute, add onion and cook until it changes to light brown colour. Add spinach and about 1/2 teaspoon salt. Cook it till the spinach is wilted. Switch off the flame and cool it down completely.Preheat the oven to 175 degree Celsius. Add 1/2 cup oil, milk and curd in a mixing bowl.In an another mixing bowl, add flour, baking powder and salt. Once done add the dry ingredients to the wet ingredients.Mix everything well and add the onion mixture and give it a stir till well incorporated.Place the mixture it in a greased loaf tin. Smooth the surface with a spoon and drizzle the remaining 1 tablespoon oil and sprinkle the sesame seeds over it.Bake the bread for about 50 minutes or until the skewer inserted comes out clean.Cool it on a wire rack before slicing and it is ready to be served.Serve Eggless Spicy Spinach Bread with Spinach Omelette and Cold Coffee Smoothie for a healthy and filling breakfast.",http://www.archanaskitchen.com/eggless-spicy-spinach-bread-recipe
1812,Palak Makki Ki Roti Recipe - Spicy Spinach Cornmeal Flatbread Recipe),Palak Makki Ki Roti Recipe - Spicy Spinach Cornmeal Flatbread Recipe),"1-1/2 cups Makki Ka Atta (Yellow Corn Meal Flour),1/4 cup Whole Wheat Flour,1 cup Spinach Leaves (Palak) - chopped,1 inch Ginger - grated,1 teaspoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),Salt - to taste,Sunflower Oil - for cooking","1-1/2 cups Makki Ka Atta (Yellow Corn Meal Flour),1/4 cup Whole Wheat Flour,1 cup Spinach Leaves (Palak) - chopped,1 inch Ginger - grated,1 teaspoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),Salt - to taste,Sunflower Oil - for cooking",25,10,35,4,North Indian Recipes,North Indian Breakfast,Vegan,"To begin making the Palak Makki Ki Roti Recipe - Spicy Spinach Corn Meal Flat Bread Recipe combine all the ingredients except the oil in a mixing bowl.Add a little water at a time and make a soft dough. Drizzle a little oil over the kneaded dough and knead for a few more minutes until the dough is smooth.Divide the makki ki roti dough into 10 portions of lemon ball size, cover and keep aside.Preheat an iron skillet; place a wet muslin cloth on the working surface; wet the palms of your hands and place a dough portion on the wet cloth. Pat the makki roti dough with your fingers to make a flat circle. You can also use a rolling pin to roll it out to approximately 3 inches in diameter.Invert the muslin cloth over the preheated skillet and place the rolled out makki roti on skillet. Cook the roti on medium heat, flipping over to cook on both sides. Cook until you see brown spots appear on the makki roti.Once you notice lighter brown spots, smear a teaspoon of ghee and cook for a few more minutes until lightly crisp.Once the paratha is done, place it on a platter and proceed to cook the remaining parathas.Serve the delicious Palak Makki Ki Roti Recipe along with Sarson Ka Saag and serve it as a weeknight dinner during the winters months.
","To begin making the Palak Makki Ki Roti Recipe - Spicy Spinach Corn Meal Flat Bread Recipe combine all the ingredients except the oil in a mixing bowl.Add a little water at a time and make a soft dough. Drizzle a little oil over the kneaded dough and knead for a few more minutes until the dough is smooth.Divide the makki ki roti dough into 10 portions of lemon ball size, cover and keep aside.Preheat an iron skillet; place a wet muslin cloth on the working surface; wet the palms of your hands and place a dough portion on the wet cloth. Pat the makki roti dough with your fingers to make a flat circle. You can also use a rolling pin to roll it out to approximately 3 inches in diameter.Invert the muslin cloth over the preheated skillet and place the rolled out makki roti on skillet. Cook the roti on medium heat, flipping over to cook on both sides. Cook until you see brown spots appear on the makki roti.Once you notice lighter brown spots, smear a teaspoon of ghee and cook for a few more minutes until lightly crisp.Once the paratha is done, place it on a platter and proceed to cook the remaining parathas.Serve the delicious Palak Makki Ki Roti Recipe along with Sarson Ka Saag and serve it as a weeknight dinner during the winters months.
",https://www.archanaskitchen.com/palak-makki-ki-roti-recipe-spicy-spinach-corn-meal-flat-bread-recipe
1813,Eggwhite Frittata With Roasted Vegetables Recipe,Egg White Frittata With Roasted Vegetables Recipe,"1/2 Beetroot - peeled and sliced,1/2 Yellow Bell Pepper (Capsicum) - thinly sliced,1/3 cup Broccoli - cut into florets,1 teaspoon Extra Virgin Olive Oil,1/2 teaspoon Sea salt,4 Egg whites,1 tablespoon Cheese - optional,1/2 teaspoon Dried oregano,1 teaspoon Extra Virgin Olive Oil","1/2 Beetroot - peeled and sliced,1/2 Yellow Bell Pepper (Capsicum) - thinly sliced,1/3 cup Broccoli - cut into florets,1 teaspoon Extra Virgin Olive Oil,1/2 teaspoon Sea salt,4 Egg whites,1 tablespoon Cheese - optional,1/2 teaspoon Dried oregano,1 teaspoon Extra Virgin Olive Oil",10,30,40,2,Continental,World Breakfast,Eggetarian,"To begin with Eggwhite Frittata with Roasted Vegetables, coat all the vegetables with olive oil and salt and grill in a pre heated oven at 180 degree Celsius for about 15 minutes.In a large bowl, beat egg whites, mix oregano and salt together.Heat a cast iron pan and grease with olive oil, spread the roasted vegetables in the pan and pour the whisked eggs and spread the grated cheese on top.Cover with a lid and cook on low flame for 8-10 minutes till fully set.Serve Eggwhite Frittata with Roasted Vegetables with toast and a hot cup of masala tea for your breakfast.
","To begin with Eggwhite Frittata with Roasted Vegetables, coat all the vegetables with olive oil and salt and grill in a pre heated oven at 180 degree Celsius for about 15 minutes.In a large bowl, beat egg whites, mix oregano and salt together.Heat a cast iron pan and grease with olive oil, spread the roasted vegetables in the pan and pour the whisked eggs and spread the grated cheese on top.Cover with a lid and cook on low flame for 8-10 minutes till fully set.Serve Eggwhite Frittata with Roasted Vegetables with toast and a hot cup of masala tea for your breakfast.
",https://www.archanaskitchen.com/eggwhite-frittata-with-roasted-vegetables-recipe
1815,Aloo Dal Pakoras Recipe,Aloo Dal Pakoras Recipe,"1 cup Green Moong Dal (Split) - soaked for 1 hour,1/2 inch Ginger,3 Green Chillies - (adjust according to the heat of the chillies),Salt - to taste,3 Potatoes (Aloo) - boiled and mashed,1/2 teaspoon Red Chilli powder,1/2 teaspoon Coriander Powder (Dhania),1/8 teaspoon Turmeric powder (Haldi),1 teaspoon Fennel seeds (Saunf) - coarsely powdered,1 teaspoon Lemon juice,Coriander (Dhania) Leaves - handful and finely chopped (optional),Asafoetida (hing) - a pinch,Salt - to taste,Sunflower Oil - for frying","1 cup Green Moong Dal (Split) - soaked for 1 hour,1/2 inch Ginger,3 Green Chillies - (adjust according to the heat of the chillies),Salt - to taste,3 Potatoes (Aloo) - boiled and mashed,1/2 teaspoon Red Chilli powder,1/2 teaspoon Coriander Powder (Dhania),1/8 teaspoon Turmeric powder (Haldi),1 teaspoon Fennel seeds (Saunf) - coarsely powdered,1 teaspoon Lemon juice,Coriander (Dhania) Leaves - handful and finely chopped (optional),Asafoetida (hing) - a pinch,Salt - to taste,Sunflower Oil - for frying",60,20,80,4,North Indian Recipes,Snack,Vegetarian,"To begin making the Aloo Dal Pakoras recipe, we will first prepare the stuffing.To prepare the potato stuffing, in a mixing bowl, combine potatoes, red chilli powder, coriander powder,  turmeric powder, fennel seeds, lemon juice, coriander leaves, hing, salt. Mix well. Pinch small portions of the potato mixture , shape them into equal size balls and set them aside.To prepare the batter, drain the excess water from the moong dal and transfer it to the jar of a mixer. Add green chillies, ginger, salt and grind it to a smooth batter using very little water.Transfer the ground batter into a wide bowl. Heat oil in a kadai/wok.When the oil is hot, dip each potato ball in the dal batter and slowly drop them into the oil.Fry the pakoras over medium flame till they are light golden on both sides .Drain them on an absorbent paper towel. Repeat the same process for the rest of the batch. Delicious Aloo dal pakoras are ready to be served hot.Serve Aloo Dal Pakoras along with Dhaniya Pudina Chutney and Date Tamarind Chutney as a tea time snack.
","To begin making the Aloo Dal Pakoras recipe, we will first prepare the stuffing.To prepare the potato stuffing, in a mixing bowl, combine potatoes, red chilli powder, coriander powder,  turmeric powder, fennel seeds, lemon juice, coriander leaves, hing, salt. Mix well. Pinch small portions of the potato mixture , shape them into equal size balls and set them aside.To prepare the batter, drain the excess water from the moong dal and transfer it to the jar of a mixer. Add green chillies, ginger, salt and grind it to a smooth batter using very little water.Transfer the ground batter into a wide bowl. Heat oil in a kadai/wok.When the oil is hot, dip each potato ball in the dal batter and slowly drop them into the oil.Fry the pakoras over medium flame till they are light golden on both sides .Drain them on an absorbent paper towel. Repeat the same process for the rest of the batch. Delicious Aloo dal pakoras are ready to be served hot.Serve Aloo Dal Pakoras along with Dhaniya Pudina Chutney and Date Tamarind Chutney as a tea time snack.
",http://www.archanaskitchen.com/aloo-dal-pakoras-recipe
1816,Roasted Potato Wrap/Roll Recipe With Spiced Cheese Spread,Roasted Potato Wrap/Roll Recipe With Spiced Cheese Spread,"4 Tortillas - (Large),1 teaspoon Extra Virgin Olive Oil,4 Potatoes (Aloo) - half boiled and cut into wedges,3 cloves Garlic - finely chopped,Dried oregano - for seasoning,1 Green Bell Pepper (Capsicum) - cut into thin strips,1 Onion - thinly sliced,4 tablespoon Britannia Cheese Spread - Asli Pepper,2 teaspoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),Salt - to taste","4 Tortillas - (Large),1 teaspoon Extra Virgin Olive Oil,4 Potatoes (Aloo) - half boiled and cut into wedges,3 cloves Garlic - finely chopped,Dried oregano - for seasoning,1 Green Bell Pepper (Capsicum) - cut into thin strips,1 Onion - thinly sliced,4 tablespoon Britannia Cheese Spread - Asli Pepper,2 teaspoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),Salt - to taste",10,30,40,4,Mexican,Lunch,Vegetarian,"To begin the Roasted Potato Wrap/Roll Recipe With Spiced Cheese Spread, first get all the ingredients prepped and ready. It also helps when you have ready rotis and tortillas so you can make these rolls in just 15 minutesTo begin, we will first roast the potatoes in a wok.Heat oil in a wok, add the garlic and allow it to sizzle for a few seconds. Add the bell peppers and saute them until softened just a bit. Once softened add the par boiled potatoes, sprinkle salt and saute on medium high heat until the potatoes are roasted well and cooked through.Once the potatoes are roasted, stir in the oregano and chili sauce and turn off the heat.The next step is to toast the tortillas with a little oil on the pan. Toasting the tortillas gives it a good crunch and taste to the roll, making it extra delicious.Now that the tortilla is toasted it’s time to assemble our Cream Cheese Roasted Potato rolls.Place a roti on a clean dry surface. Spread a tablespoon of Asli Pepper cheese spreadz over the roti. I love the way the cheese spreads beautifully with ease. It makes cooking so much fun.And the best part of the cheese spreadz is that it makes a great high protein replacement for butter. It adds to the creaminess and what more the taste too.Once you have spread the cheese, add the roasted potatoes, capsicum, onions and roll it up tightly.Repeat with the remaining ingredients to make 3 more rolls. Wrap a parchment paper around each roll and serve immediately.Serve the Roasted Potato Wrap/Roll as a tea time snack with Adrak Chai, and after school snack, or a kids lunch box or even a quick weeknight dinner.
","To begin the Roasted Potato Wrap/Roll Recipe With Spiced Cheese Spread, first get all the ingredients prepped and ready. It also helps when you have ready rotis and tortillas so you can make these rolls in just 15 minutesTo begin, we will first roast the potatoes in a wok.Heat oil in a wok, add the garlic and allow it to sizzle for a few seconds. Add the bell peppers and saute them until softened just a bit. Once softened add the par boiled potatoes, sprinkle salt and saute on medium high heat until the potatoes are roasted well and cooked through.Once the potatoes are roasted, stir in the oregano and chili sauce and turn off the heat.The next step is to toast the tortillas with a little oil on the pan. Toasting the tortillas gives it a good crunch and taste to the roll, making it extra delicious.Now that the tortilla is toasted it’s time to assemble our Cream Cheese Roasted Potato rolls.Place a roti on a clean dry surface. Spread a tablespoon of Asli Pepper cheese spreadz over the roti. I love the way the cheese spreads beautifully with ease. It makes cooking so much fun.And the best part of the cheese spreadz is that it makes a great high protein replacement for butter. It adds to the creaminess and what more the taste too.Once you have spread the cheese, add the roasted potatoes, capsicum, onions and roll it up tightly.Repeat with the remaining ingredients to make 3 more rolls. Wrap a parchment paper around each roll and serve immediately.Serve the Roasted Potato Wrap/Roll as a tea time snack with Adrak Chai, and after school snack, or a kids lunch box or even a quick weeknight dinner.
",https://www.archanaskitchen.com/roasted-potato-wrap-roll-recipe-with-spiced-cheese-spread
1819,Vankaya Ulli Karam Recipe - Eggplant In Spicy Onion Gravy,Vankaya Ulli Karam Recipe - Eggplant In Spicy Onion Gravy,"16 Small Brinjal (Baingan / Eggplant),2 Onions - chopped,1 Tomato - chopped,3 cloves Garlic - finely chopped,1/2 inch Ginger - finely chopped,3 Green Chillies - slit,1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Methi Seeds (Fenugreek Seeds),Salt - to taste,Sunflower Oil - to cook,Coriander (Dhania) Leaves - chopped","16 Small Brinjal (Baingan / Eggplant),2 Onions - chopped,1 Tomato - chopped,3 cloves Garlic - finely chopped,1/2 inch Ginger - finely chopped,3 Green Chillies - slit,1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Methi Seeds (Fenugreek Seeds),Salt - to taste,Sunflower Oil - to cook,Coriander (Dhania) Leaves - chopped",10,25,35,4,Andhra,Side Dish,Vegetarian,"To begin making Vankaya Ulli Karam Recipe (Eggplants In Spicy Onion Gravy), first slit them twice diagonally 3/4th long such that you do not disturb their stalk/ crown. Prep the rest of the ingredients as well.In a kadai/heavy bottomed pan, heat the required oil and add cumin seeds.Once the cumin sizzles, add coriander & fenugreek seeds, once they become fragrant, add the garlic & ginger.Fry for a minute and add the chopped onions. Cook until they turn slightly soft & pinkish.Add the tomatoes, chillies and fry for a couple of minutes.Add salt, mix it well & switch off the flame.Once it cools down, grind it into a paste. Now, fill the ground masala into the slit eggplants.Heat oil in the kadai and & add these eggplants to it. Add the remaining masala as well to it.Cover it & cook until the eggplants are soft & mushy. Keep stirring in between, but carefully so that the brinjal does not become mushy.Keep cooking it till the eggplants are cooked, and the mixture comes together and becomes brownish in colour. Make sure you don't burn them.Once done, add lots of coriander to it and switch off heat.Serve Vankaya Ulli Karam Recipe along with Steamed Rice, and Moong Dal Rasam/Pesara Pappu Charu Recipe and Black Chickpea Salad Recipe for a complete meal.
","To begin making Vankaya Ulli Karam Recipe (Eggplants In Spicy Onion Gravy), first slit them twice diagonally 3/4th long such that you do not disturb their stalk/ crown. Prep the rest of the ingredients as well.In a kadai/heavy bottomed pan, heat the required oil and add cumin seeds.Once the cumin sizzles, add coriander & fenugreek seeds, once they become fragrant, add the garlic & ginger.Fry for a minute and add the chopped onions. Cook until they turn slightly soft & pinkish.Add the tomatoes, chillies and fry for a couple of minutes.Add salt, mix it well & switch off the flame.Once it cools down, grind it into a paste. Now, fill the ground masala into the slit eggplants.Heat oil in the kadai and & add these eggplants to it. Add the remaining masala as well to it.Cover it & cook until the eggplants are soft & mushy. Keep stirring in between, but carefully so that the brinjal does not become mushy.Keep cooking it till the eggplants are cooked, and the mixture comes together and becomes brownish in colour. Make sure you don't burn them.Once done, add lots of coriander to it and switch off heat.Serve Vankaya Ulli Karam Recipe along with Steamed Rice, and Moong Dal Rasam/Pesara Pappu Charu Recipe and Black Chickpea Salad Recipe for a complete meal.
",https://www.archanaskitchen.com/vankaya-ulli-karam-recipe-eggplant-in-spicy-onion-gravy
1820,Vetrilai Thogayal Recipe -  Paan Chutney Recipe,Vetrilai Thogayal Recipe - Paan Chutney Recipe,"13-15 Betel leaves (paan) - vetrilai,6 Onion,12 cloves Garlic,1 tablespoon Coriander (Dhania) Seeds,1 tablespoon Black Urad Dal (Split),1 tablespoon Chana dal (Bengal Gram Dal),1 teaspoon Cumin seeds (Jeera),30 grams Tamarind,Salt - to taste,1/4 teaspoon Asafoetida (hing),2 tablespoon Sunflower Oil","13-15 Betel leaves (paan) - vetrilai,6 Onion,12 cloves Garlic,1 tablespoon Coriander (Dhania) Seeds,1 tablespoon Black Urad Dal (Split),1 tablespoon Chana dal (Bengal Gram Dal),1 teaspoon Cumin seeds (Jeera),30 grams Tamarind,Salt - to taste,1/4 teaspoon Asafoetida (hing),2 tablespoon Sunflower Oil",20,20,40,4,South Indian Recipes,Side Dish,Vegetarian,"To prepare Vetrilai Thogayal | Paan Chutney Recipe, wash and clean betel leaves.Tear the stem in between the leaves. Peel the small onion and garlic cloves.Take a nonstick pan and add 1 tablespoon oil.Add garlic, small onion & green chili. Let it fry nicely.Add betel leaves and fry for 1 or 2 minutes until its color changes.Switch off the gas and add the tamarind in the same hot pan and keep it for 2 minutes.Transfer to another plate to cool down.While this is getting cooled down, on the same pan add few drops of oil and add coriander seeds,urad dal, jeera,chana dal and hing powder. Fry until nice aroma comes out. It takes around 3 – 4 minutes.Let it cool down and powder them and transfer it separately.Meanwhile the Betel leaf mixture would have cooled down. Blend to a nice paste.Transfer the dal powders into the mixie and blend well; adding salt at this stage.Add 1 tablespoon of oil in the nonstick pan and heat it. Transfer the thogayal/chutney into the pan and fry for 3 -4 minutes. Oil might not ooze out as it is too less for this quantity.Vetrilai Thogayal | Paan Chutney Recipe is ready. Mix it with rice with a dollop of ghee or serve it as an accompaniment with fryums.
","To prepare Vetrilai Thogayal | Paan Chutney Recipe, wash and clean betel leaves.Tear the stem in between the leaves. Peel the small onion and garlic cloves.Take a nonstick pan and add 1 tablespoon oil.Add garlic, small onion & green chili. Let it fry nicely.Add betel leaves and fry for 1 or 2 minutes until its color changes.Switch off the gas and add the tamarind in the same hot pan and keep it for 2 minutes.Transfer to another plate to cool down.While this is getting cooled down, on the same pan add few drops of oil and add coriander seeds,urad dal, jeera,chana dal and hing powder. Fry until nice aroma comes out. It takes around 3 – 4 minutes.Let it cool down and powder them and transfer it separately.Meanwhile the Betel leaf mixture would have cooled down. Blend to a nice paste.Transfer the dal powders into the mixie and blend well; adding salt at this stage.Add 1 tablespoon of oil in the nonstick pan and heat it. Transfer the thogayal/chutney into the pan and fry for 3 -4 minutes. Oil might not ooze out as it is too less for this quantity.Vetrilai Thogayal | Paan Chutney Recipe is ready. Mix it with rice with a dollop of ghee or serve it as an accompaniment with fryums.
",https://www.archanaskitchen.com/vetrilai-thogayal-paan-chutney-recipe
1821,बटाटा नु शाक रेसिपी - Batata Nu Shaak (Recipe In Hindi),Batata Nu Shaak Recipe,"4 आलू - छीलकर काट ले,1 इंच अदरक - कस ले,2 टमाटर प्यूरी,1/2 छोटा चमच्च जीरा,1/4 छोटा चमच्च राइ,1/2 छोटा चमच्च हल्दी पाउडर,1/4 छोटा चमच्च हींग,1 छोटा चमच्च लाल मिर्च पाउडर,1 छोटा चमच्च धनिया पाउडर,2 छोटे चमच्च तेल,1 हरा धनिया - बारीक काट ले,काला नमक या सेंधा नमक - स्वाद अनुसार,नमक - स्वाद अनुसार,Black Salt (Kala Namak) - to taste,Salt - to taste","4 Potatoes - peel and chop, 1 inch ginger - tighten, 2 tomato puree, 1/2 teaspoon cumin seeds, 1/4 teaspoon mustard, 1/2 teaspoon turmeric powder, 1/4 teaspoon asafoetida, 1 teaspoon Red chili powder, 1 teaspoon coriander powder, 2 teaspoons oil, 1 green coriander - finely chopped, black salt or rock salt - as per taste, salt - as per taste, Black Salt (Kala Namak) - to taste, Salt - to taste",20,35,55,4,Gujarati Recipes﻿,Lunch,Vegetarian,"बटाटा नु शाक बनाने के लिए सबसे पहले एक कढ़ाई में तेल गरम कर ले. इसमें राइ, जीरा, दालचीनी डाले और 30 सेकण्ड्स तक पकने दे. इसमें हींग, हल्दी पाउडर, लाल मिर्च पाउडर, अदरक, टमाटर प्यूरी डाले और 2 मिनट तक पकने दे. अब इसमें धनिया पाउडर, गरम मसाला पाउडर, आलू, नमक, काला नमक और 2 कप पानी डाले। उबाला आने दे और फिर कढ़ाई को ढक ले. 15 मिनट या आलू के नरम होने तक पकने दे. पकने के बाद थोड़े आलू को मैश कर ले ताकि ग्रेवी थोड़ी गाढ़ी हो जाए. बनाने के बाद हरे धनिये से गर्निश करें और परोसे। बटाटा नु शाक को बूंदी रायता और पूरी के साथ दिन के खाने के लिए परोसे।
","To make batata nu shak, first heat oil in a pan. Add mustard seeds, cumin, cinnamon and let it cook for 30 seconds. Add asafetida, turmeric powder, red chili powder, ginger, tomato puree and let it cook for 2 minutes. Now add coriander powder, garam masala powder, potato, salt, black salt and 2 cups of water. Allow to boil and then cover the pan. Let it cook for 15 minutes or until the potatoes are soft. After cooking, mash some potatoes to make the gravy thicker. Garnish with green coriander after cooking and serve. Serve batata nu shak with boondi raita and puri for dinner.",https://www.archanaskitchen.com/batata-nu-shaak-recipe-in-hindi
